Species,Glucose_F,Galactose_F,Sucrose_F,Maltose_F,Lactose_F,Raffinose_F,Trehalose_F,Glucose,Inulin,Sucrose,Raffinose,Melibiose,Galactose,Lactose,Trehalose,Maltose,Melezitose,Methyl-?-D-glucoside,Soluble Starch,Cellobiose,Salicin,L-Sorbose,L-Rhamnose,D-Xylose,L-Arabinose,D-Arabinose,D-Ribose,Methanol,Ethanol,Glycerol,Erythritol,Ribitol,Galactitol,D-Mannitol,D-Glucitol,myo-Inositol,DL-Lactate,Succinate,Citrate,D-Gluconate,D-Glucosamine,N-Acetyl-D-glucosamine,Hexadecane,Nitrate,Nitrite,Vitamin-free,2-Keto-D-gluconate,5-Keto-D-gluconate,Saccharate,Xylitol,L-Arabinitol,Arbutin,"Propane 1,2 diol","Butane 2,3 diol",Cadaverine,Creatinine,L-Lysine,Ethylamine,50% Glucose,10% NaCl/5% glucose,Starch formation,Urease,Gelatin liquefaction,0.01% Cycloheximide,0.1% Cycloheximide,Growth at 19°C,Growth at 25°C,Growth at 30°C,Growth at 35°C,Growth at 37°C,Growth at 40°C,Growth at 45°C
Lipomyces yarrowii,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,1,1,1,0,NA,0,0
Myxozyma geophila,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,1,1,1,NA,0,0,0
Myxozyma kluyveri,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,1,1,1,NA,0,0,0
Myxozyma lipomycoides,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,1,1,1,NA,0,0,0
Myxozyma melibiosi,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,1,1,1,NA,0,0,0
Myxozyma monticola,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,1,1,1,NA,0,0,0
Myxozyma mucilagina,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,1,1,1,1,1,NA,NA
Myxozyma neglecta,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,NA,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,0,0,0
Myxozyma neotropica,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,NA,NA,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,0,0,0
Myxozyma nipponensis,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,0,0,0
Myxozyma sirexii,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA
Myxozyma udenii,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,1,1,1,1,1,NA,NA
Myxozyma vanderwaltii,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,1,1,1,NA,0,0,0
Aciculoconidium aculeatum,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,1,1,1,1,0,0,0,0
Clavispora lusitaniae,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,NA,1,1,1,1,1,NA,NA
Clavispora opuntiae,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,NA,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,0,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Hyphopichia burtonii,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,1,1,1,NA,1,NA,NA
Hyphopichia heimii,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,1,1,1,NA,0,0,0
Kodamaea anthophila,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Kodamaea kakaduensis,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Kodamaea laetipori,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,NA,NA,NA,0,NA,0,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,NA,1,1,1,1,1,1,NA,NA,NA
Kodamaea nitidulidarum,1,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Kodamaea ohmeri,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,0,1,1,1,1,1,NA,NA
Metschnikowia aberdeeniae,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia agaves,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Metschnikowia andauensis,1,0,0,0,0,0,0,1,0,1,0,0,1,NA,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,NA,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,0,1,NA,0,NA,NA,0,0,1,1,1,1,0,0,0
Metschnikowia arizonensis,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,0,1,0,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia australis,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,0,0,0,0,0
Metschnikowia bicuspidata var. bicuspidata,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia bicuspidata var. californica,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,1,1,1,1,NA,0,0,0
Metschnikowia bicuspidata var. chathamia,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,0,1,1,1,0,0,0,0
Metschnikowia borealis,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,NA,NA,NA
Metschnikowia cerradonensis,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,0,0,0,0
Metschnikowia chrysoperlae,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,0,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia colocasiae,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia continentalis,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia corniflorae,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,1,1,0,0,0,0,0
Metschnikowia dekortorum,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia drosophilae,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Metschnikowia fructicola,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia gruessii,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia hamakuensis,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,0,0,0,0,0
Metschnikowia hawaiiensis,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,0,0,0,0
Metschnikowia hibisci,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia kamakouana,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,0,0,0,0,0
Metschnikowia koreensis,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia krissii,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,1,1,0,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia kunwiensis,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia lachancei,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia lochheadii,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia lunata,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Metschnikowia mauinuiana,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,0,0,0,0,0
Metschnikowia noctiluminum,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,NA,NA,0,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,1,1,1,NA,0,0,0
Metschnikowia orientalis,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,0,0,0,0
Metschnikowia pulcherrima,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Metschnikowia reukaufii,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,0,1,1,1,NA,1,NA,NA
Metschnikowia santaceciliae,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,0,1,1,NA,1,0,0,0
Metschnikowia shanxiensis,1,1,0,0,0,0,NA,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,NA,0,0,1,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,NA,NA,NA,1,1,NA,1,0,0,0
Metschnikowia similis,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,1,NA,0,NA,0,0,0,1,1,1,0,0,0,0
Metschnikowia sinensis,1,1,0,0,0,0,NA,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,NA,0,0,1,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,NA,NA,NA,1,1,1,1,0,0,0
Metschnikowia vanudenii,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,0,1,1,1,NA,0,0,0
Metschnikowia viticola,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,NA,0,0,1,1,1,0,0,0,0
Metschnikowia zizyphicola,1,0,0,0,0,0,NA,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,NA,0,0,1,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,NA,NA,NA,1,1,1,NA,0,0,0
Metschnikowia zobellii,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,0,1,1,1,NA,0,0,0
Komagataella pastoris,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,1,1,1,1,1,NA,NA
Komagataella phaffii,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,NA,1,1,1,1,1,NA,NA
Komagataella pseudopastoris,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
Phaffomyces antillensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,1,1,NA,1,NA,NA
Phaffomyces opuntiae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,1,1,NA,0,0,0
Phaffomyces thermotolerans,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,1,1,1,1,NA,NA
Brettanomyces custersianus,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,1,1,1,1,1,1,0,0
Brettanomyces naardenensis,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,NA,NA,0,NA,0,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,1,1,1,1,0,0,0,0
Brettanomyces nanus,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,1,1,1,0,0,0,0
Dekkera anomala,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,NA,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,1,1,1,1,1,1,NA,NA
Dekkera bruxellensis,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,1,1,1,1,1,1,NA,NA
Kregervanrija delftensis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,1,1,1,NA,0,0,0
Kregervanrija fluxuum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,1,NA,NA,0,0,0
Kregervanrija pseudodelftensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,0,1,1,NA,NA,0,0,0
Pichia barkeri,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,1,1,1,1,1,NA,NA
